names,left_ankle_only,right_ankle_only,left_hip_only,right_hip_only,left_side,right_side,ankles,hips
DIFF14_ygyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF23_ygyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF24_ygyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF34_ygyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF12_zgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF13_zgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF14_zgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF23_zgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF24_zgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF34_zgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF12_xacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF13_xacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF14_xacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF23_xacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF24_xacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF34_xacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF12_yacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF13_yacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF14_yacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF23_yacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF24_yacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF34_yacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF12_zacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF13_zacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF14_zacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF23_zacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF24_zacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF34_zacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF12_xgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF13_xgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF14_xgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF23_xgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF24_xgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF34_xgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF12_ygyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF13_ygyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF14_ygyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF23_ygyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF24_ygyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF34_ygyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF12_zgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF13_zgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF14_zgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF23_zgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF24_zgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSDIFF34_zgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
